time	V(A,B)
0.000000000000000e+000	0.000000e+000	
6.31559e-05	3.81345e-01
6.31569e-05	7.37636e+00
6.31579e-05	4.18287e+01
6.31589e-05	1.29980e+02
6.31603e-05	2.91415e+02
6.31611e-05	3.06949e+02
6.31615e-05	3.05084e+02
6.31716e-05	3.10959e+02
6.31859e-05	3.08959e+02
6.54473e-05	3.11218e+02
8.06689e-05	3.09086e+02
1.47578e-04	3.08536e+02
1.47581e-04	3.05242e+02
1.47587e-04	3.10155e+02
1.47602e-04	3.08141e+02
1.68563e-04	3.10791e+02
1.81397e-04	3.07845e+02
1.81399e-04	2.81021e+02
1.81401e-04	2.68974e+02
1.81405e-04	2.55753e+02
1.81405e-04	2.22490e+02
1.81406e-04	1.19289e+02
1.81406e-04	5.60267e+01
1.81406e-04	2.94880e+01
1.81406e-04	1.76530e+01
1.81407e-04	6.38919e+00
1.81408e-04	1.18034e+00
1.81424e-04	-1.44170e+00
3.15442e-04	-3.86138e-01
3.15443e-04	1.37172e+01
3.15444e-04	6.54253e+01
3.15445e-04	1.67946e+02
3.15447e-04	2.91974e+02
3.15447e-04	3.04677e+02
3.15459e-04	3.09860e+02
3.94497e-04	3.06893e+02
3.94499e-04	3.04376e+02
3.94505e-04	3.09258e+02
3.94519e-04	3.07255e+02
4.11624e-04	3.09705e+02
4.23178e-04	3.06948e+02
4.23180e-04	2.80925e+02
4.23181e-04	2.69662e+02
4.23185e-04	2.55983e+02
4.23186e-04	2.29013e+02
4.23186e-04	1.32784e+02
4.23187e-04	7.57382e+01
4.23187e-04	3.93907e+01
4.23187e-04	1.93404e+01
4.23188e-04	6.79635e+00
4.23189e-04	9.06131e-01
4.23194e-04	-1.63424e+00
5.67684e-04	-6.57124e-01
5.67685e-04	3.78290e+01
5.67686e-04	1.29221e+02
5.67687e-04	2.67456e+02
5.67688e-04	2.95719e+02
5.67689e-04	3.09644e+02
5.67690e-04	3.04699e+02
5.67702e-04	3.09264e+02
5.67721e-04	3.07286e+02
6.17284e-04	3.08899e+02
6.17359e-04	3.07480e+02
6.41422e-04	3.06523e+02
6.41424e-04	3.03918e+02
6.41431e-04	3.08812e+02
6.41438e-04	3.06774e+02
6.65009e-04	3.06339e+02
6.65010e-04	2.82849e+02
6.65012e-04	2.71201e+02
6.65016e-04	2.56463e+02
6.65016e-04	2.54948e+02
6.65017e-04	1.27794e+02
6.65018e-04	2.10147e+01
6.65018e-04	1.31340e+01
6.65019e-04	2.64613e+00
6.65022e-04	-1.43121e+00
8.19848e-04	-3.77957e-01
8.19849e-04	1.78650e+01
8.19850e-04	7.90804e+01
8.19852e-04	2.87686e+02
8.19852e-04	3.02593e+02
8.19852e-04	3.00117e+02
8.19856e-04	3.06959e+02
8.88372e-04	3.07182e+02
8.88375e-04	3.03596e+02
8.88381e-04	3.08174e+02
8.88642e-04	3.06325e+02
9.06920e-04	3.06082e+02
9.06922e-04	2.80216e+02
9.06923e-04	2.68311e+02
9.06927e-04	2.54927e+02
9.06927e-04	2.26978e+02
9.06928e-04	1.29424e+02
9.06928e-04	7.16615e+01
9.06928e-04	3.73992e+01
9.06929e-04	2.11738e+01
9.06929e-04	1.23135e+01
9.06929e-04	3.38949e+00
9.06931e-04	-9.95607e-01
1.07190e-03	-7.86712e-01
1.07190e-03	3.37831e+00
1.07190e-03	2.59189e+01
1.07190e-03	9.47755e+01
1.07191e-03	2.61774e+02
1.07191e-03	2.90335e+02
1.07191e-03	3.02428e+02
1.07192e-03	3.08581e+02
1.07193e-03	3.06561e+02
1.07550e-03	3.08939e+02
1.09619e-03	3.06465e+02
1.13546e-03	3.05762e+02
1.13547e-03	3.03235e+02
1.13547e-03	3.08082e+02
1.13549e-03	3.06186e+02
1.14894e-03	3.05598e+02
1.14894e-03	2.80776e+02
1.14894e-03	2.67978e+02
1.14895e-03	2.55020e+02
1.14895e-03	2.26276e+02
1.14895e-03	1.27230e+02
1.14895e-03	6.80880e+01
1.14895e-03	3.53763e+01
1.14895e-03	2.00889e+01
1.14895e-03	5.76774e+00
1.14895e-03	-1.54922e+00
1.32381e-03	-7.99283e-01
1.32381e-03	3.97892e+00
1.32381e-03	3.88667e+01
1.32381e-03	1.28251e+02
1.32382e-03	3.34184e+02
1.32382e-03	3.01815e+02
1.32383e-03	3.08406e+02
1.32384e-03	3.06439e+02
1.32557e-03	3.08485e+02
1.38318e-03	3.05694e+02
1.38318e-03	3.03167e+02
1.38319e-03	3.08012e+02
