time	V(a)
0.000000000000000e+000	1.936979e-004	
6.31449e-05	-7.86170e-02
6.31549e-05	-2.97191e-01
6.31559e-05	1.06026e+00
6.31569e-05	7.37656e+00
6.31579e-05	4.18291e+01
6.31589e-05	1.29980e+02
6.31599e-05	2.52298e+02
6.31600e-05	2.65736e+02
6.31603e-05	2.85041e+02
6.31605e-05	2.94489e+02
6.31607e-05	3.01189e+02
6.31609e-05	3.03999e+02
6.31611e-05	3.04888e+02
6.31615e-05	3.05639e+02
6.31632e-05	3.06947e+02
6.31673e-05	3.09475e+02
6.31686e-05	3.09831e+02
6.32900e-05	3.09998e+02
1.81397e-04	3.08813e+02
1.81397e-04	3.08551e+02
1.81397e-04	3.07918e+02
1.81397e-04	3.06782e+02
1.81397e-04	3.04816e+02
1.81397e-04	3.01827e+02
1.81398e-04	2.93145e+02
1.81398e-04	2.86648e+02
1.81399e-04	2.81489e+02
1.81399e-04	2.77154e+02
1.81400e-04	2.72540e+02
1.81401e-04	2.69603e+02
1.81401e-04	2.67461e+02
1.81403e-04	2.62370e+02
1.81404e-04	2.60432e+02
1.81404e-04	2.57930e+02
1.81405e-04	2.52164e+02
1.81405e-04	2.40535e+02
1.81405e-04	2.21301e+02
1.81405e-04	1.93809e+02
1.81405e-04	1.61523e+02
1.81406e-04	1.18987e+02
1.81406e-04	5.60255e+01
1.81406e-04	2.94879e+01
1.81406e-04	1.76531e+01
1.81407e-04	1.02056e+01
1.81407e-04	7.20076e+00
1.81407e-04	5.40864e+00
1.81407e-04	4.27412e+00
1.81407e-04	3.25260e+00
1.81407e-04	2.61922e+00
1.81408e-04	1.51716e+00
1.81410e-04	7.08333e-02
1.81412e-04	-3.86700e-01
1.81453e-04	-6.02120e-01
3.15442e-04	-7.09272e-01
3.15442e-04	-5.39075e-02
3.15443e-04	1.37174e+01
3.15444e-04	6.54256e+01
3.15445e-04	1.67948e+02
3.15446e-04	2.80368e+02
3.15447e-04	2.89657e+02
3.15447e-04	2.98840e+02
3.15447e-04	3.02110e+02
3.15447e-04	3.03256e+02
3.15447e-04	3.03802e+02
3.15448e-04	3.04423e+02
3.15449e-04	3.05807e+02
3.15454e-04	3.08361e+02
3.15455e-04	3.08738e+02
3.15490e-04	3.08959e+02
4.23176e-04	3.08110e+02
4.23178e-04	3.08175e+02
4.23178e-04	3.07875e+02
4.23178e-04	3.07068e+02
4.23178e-04	3.05635e+02
4.23179e-04	3.03341e+02
4.23179e-04	2.99894e+02
4.23179e-04	2.89884e+02
4.23180e-04	2.81650e+02
4.23181e-04	2.73947e+02
4.23181e-04	2.69999e+02
4.23182e-04	2.67746e+02
4.23183e-04	2.65767e+02
4.23185e-04	2.60086e+02
4.23185e-04	2.58028e+02
4.23185e-04	2.53482e+02
4.23185e-04	2.44523e+02
4.23186e-04	2.27343e+02
4.23186e-04	2.01775e+02
4.23186e-04	1.69858e+02
4.23186e-04	1.31267e+02
4.23187e-04	7.57379e+01
4.23187e-04	3.93907e+01
4.23187e-04	2.10426e+01
4.23187e-04	1.95131e+01
4.23188e-04	6.79640e+00
4.23189e-04	9.06208e-01
4.23190e-04	-6.07891e-01
4.23247e-04	-7.39943e-01
5.67684e-04	-7.07464e-01
5.67684e-04	-5.41238e-01
5.67685e-04	3.78293e+01
5.67686e-04	1.29222e+02
5.67687e-04	2.53139e+02
5.67687e-04	2.66408e+02
5.67688e-04	2.84917e+02
5.67688e-04	2.93989e+02
5.67688e-04	2.99907e+02
5.67688e-04	3.02415e+02
5.67689e-04	3.03756e+02
5.67690e-04	3.04699e+02
5.67695e-04	3.07473e+02
5.67696e-04	3.07853e+02
5.67700e-04	3.08126e+02
5.67815e-04	3.08289e+02
6.65008e-04	3.07572e+02
6.65008e-04	3.07361e+02
6.65008e-04	3.06700e+02
6.65009e-04	3.05106e+02
6.65009e-04	3.02449e+02
6.65009e-04	2.98881e+02
6.65010e-04	2.88542e+02
6.65010e-04	2.83104e+02
6.65011e-04	2.77150e+02
6.65012e-04	2.71490e+02
6.65012e-04	2.68563e+02
6.65013e-04	2.66524e+02
6.65015e-04	2.59578e+02
6.65016e-04	2.57665e+02
6.65016e-04	2.54948e+02
6.65017e-04	1.27793e+02
6.65018e-04	2.10147e+01
6.65018e-04	1.31341e+01
6.65018e-04	6.94300e+00
6.65019e-04	3.37658e+00
6.65020e-04	3.86564e-01
6.65021e-04	-6.78606e-01
8.19847e-04	-7.28835e-01
8.19848e-04	4.17527e-02
8.19849e-04	1.78651e+01
8.19850e-04	7.90807e+01
8.19851e-04	1.84507e+02
8.19852e-04	2.86439e+02
8.19852e-04	2.93872e+02
8.19852e-04	3.01012e+02
8.19853e-04	3.02941e+02
8.19854e-04	3.04116e+02
8.19858e-04	3.06666e+02
8.19859e-04	3.07178e+02
8.19861e-04	3.07571e+02
8.19890e-04	3.07815e+02
9.06918e-04	3.07257e+02
9.06919e-04	3.07330e+02
9.06920e-04	3.07066e+02
9.06920e-04	3.06326e+02
9.06920e-04	3.04787e+02
9.06920e-04	3.02301e+02
9.06920e-04	2.98435e+02
9.06921e-04	2.94271e+02
9.06921e-04	2.87874e+02
9.06922e-04	2.80869e+02
9.06922e-04	2.72745e+02
9.06923e-04	2.68722e+02
9.06924e-04	2.66579e+02
9.06925e-04	2.62959e+02
9.06926e-04	2.59087e+02
9.06927e-04	2.56971e+02
9.06927e-04	2.52243e+02
9.06927e-04	2.42821e+02
9.06927e-04	2.25442e+02
9.06927e-04	1.99520e+02
9.06928e-04	1.67515e+02
9.06928e-04	1.27987e+02
9.06928e-04	7.16615e+01
9.06928e-04	3.73994e+01
9.06929e-04	2.11737e+01
9.06929e-04	1.23135e+01
9.06929e-04	7.41563e+00
9.06929e-04	4.49262e+00
9.06929e-04	4.09377e+00
9.06930e-04	5.47960e-01
9.06931e-04	-6.97463e-01
1.07190e-03	-7.74147e-01
