time	V(ctrla)
0.000000000000000e+000	2.500000e+000	
1.42709e-03	3.70232e+00
2.46064e-03	4.43095e+00
3.33333e-03	4.89165e+00
3.33665e-03	4.87327e+00
3.79140e-03	5.06420e+00
4.57368e-03	5.23540e+00
5.35011e-03	5.24380e+00
6.13815e-03	5.08634e+00
6.95926e-03	4.75537e+00
6.98546e-03	4.72243e+00
7.47258e-03	4.47127e+00
7.53102e-03	4.41600e+00
8.09228e-03	4.06166e+00
9.31986e-03	3.09318e+00
1.12060e-02	1.47283e+00
1.22569e-02	7.00065e-01
1.31376e-02	1.97448e-01
1.39431e-02	-1.09540e-01
1.47171e-02	-2.49124e-01
1.54797e-02	-2.28532e-01
1.62446e-02	-5.17007e-02
1.70559e-02	2.94194e-01
1.79654e-02	8.49604e-01
1.91129e-02	1.73358e+00
2.12702e-02	3.57878e+00
2.23253e-02	4.34498e+00
2.32060e-02	4.83473e+00
2.32310e-02	4.82658e+00
2.37037e-02	5.03513e+00
2.37057e-02	5.02075e+00
2.42971e-02	5.19322e+00
2.50682e-02	5.25942e+00
2.58432e-02	5.16420e+00
2.66560e-02	4.89681e+00
2.66563e-02	4.88161e+00
2.73081e-02	4.56834e+00
2.73082e-02	4.54900e+00
2.78967e-02	4.19917e+00
2.79611e-02	4.13445e+00
2.86056e-02	3.67658e+00
3.14019e-02	1.31790e+00
3.24066e-02	6.03929e-01
3.32671e-02	1.37763e-01
3.40436e-02	-1.35560e-01
3.47666e-02	-2.50663e-01
3.55115e-02	-2.24326e-01
3.62919e-02	-3.65410e-02
3.71188e-02	3.27123e-01
3.80374e-02	9.00095e-01
3.92180e-02	1.82123e+00
4.12346e-02	3.55013e+00
4.12397e-02	3.53910e+00
4.20672e-02	4.17309e+00
4.29819e-02	4.72572e+00
4.38189e-02	5.07356e+00
4.46080e-02	5.23927e+00
4.53856e-02	5.24029e+00
4.53882e-02	5.22302e+00
4.59370e-02	5.14172e+00
4.67424e-02	4.85823e+00
4.76428e-02	4.36658e+00
4.78565e-02	4.20629e+00
4.85008e-02	3.75787e+00
5.01560e-02	2.37540e+00
5.01628e-02	2.35404e+00
5.15543e-02	1.20005e+00
5.25437e-02	5.18964e-01
5.34006e-02	7.99210e-02
5.41976e-02	-1.73082e-01
5.49686e-02	-2.59839e-01
5.57317e-02	-1.87295e-01
5.65159e-02	4.62689e-02
5.73552e-02	4.59340e-01
5.83115e-02	1.09907e+00
5.96733e-02	2.20835e+00
6.00000e-02	2.50000e+00
