time	V(tri)
0.000000000000000e+000	0.000000e+000	
1.24379e-04	4.96264e+00
2.48135e-04	4.94617e-02
3.71431e-04	4.95706e+00
4.94501e-04	2.72757e-02
6.17359e-04	4.99698e+00
7.40960e-04	8.87730e-03
8.64260e-04	4.99746e+00
9.88642e-04	3.99990e-02
1.11215e-03	4.95810e+00
1.23527e-03	2.84143e-02
1.35922e-03	4.95167e+00
1.48226e-03	3.13406e-02
1.60511e-03	4.99321e+00
1.72906e-03	2.68605e-02
1.85197e-03	4.99502e+00
1.97560e-03	1.16699e-02
2.09879e-03	4.99897e+00
2.22297e-03	3.03938e-02
2.34570e-03	4.99928e+00
2.46990e-03	3.09210e-02
2.59267e-03	4.99679e+00
2.71726e-03	4.89504e-02
2.83954e-03	4.99878e+00
2.96362e-03	2.68119e-02
3.08647e-03	4.99797e+00
3.21111e-03	4.99544e-02
3.33415e-03	4.96680e+00
3.45800e-03	4.91062e-02
3.58138e-03	4.95420e+00
3.70392e-03	8.56288e-03
3.82820e-03	4.95786e+00
3.95135e-03	2.95620e-02
4.07411e-03	4.99858e+00
4.19827e-03	2.99454e-02
4.32102e-03	4.99856e+00
4.44508e-03	2.56797e-02
4.56795e-03	4.99814e+00
4.69222e-03	3.48873e-02
4.81486e-03	4.99831e+00
4.93900e-03	2.93181e-02
5.06182e-03	4.99635e+00
5.18595e-03	3.10695e-02
5.30867e-03	4.99903e+00
5.43277e-03	2.72443e-02
5.55568e-03	4.99509e+00
5.68019e-03	4.77797e-02
5.80264e-03	4.99313e+00
5.92609e-03	6.56794e-03
6.04941e-03	4.99873e+00
6.17353e-03	2.79189e-02
6.29703e-03	4.97023e+00
6.42046e-03	2.84480e-02
6.54399e-03	4.96855e+00
6.66754e-03	3.52017e-02
6.79021e-03	4.99661e+00
6.91480e-03	4.93405e-02
7.03798e-03	4.96178e+00
7.16156e-03	4.30881e-02
7.28405e-03	4.99615e+00
7.40805e-03	2.58252e-02
7.53102e-03	4.99371e+00
7.65525e-03	3.76340e-02
7.77782e-03	4.99831e+00
7.90201e-03	3.12651e-02
8.02481e-03	4.99516e+00
8.14910e-03	3.85875e-02
8.27162e-03	4.99941e+00
8.39570e-03	2.58952e-02
8.51855e-03	4.99885e+00
8.64257e-03	2.40453e-02
8.76546e-03	4.99891e+00
8.88961e-03	2.93573e-02
9.01239e-03	4.99835e+00
9.13643e-03	2.53772e-02
9.25929e-03	4.99886e+00
9.38364e-03	3.74667e-02
9.50623e-03	4.99783e+00
9.63058e-03	3.82885e-02
9.75311e-03	4.99898e+00
9.87731e-03	3.12221e-02
1.00009e-02	4.96380e+00
1.01243e-02	3.21619e-02
1.02476e-02	4.97097e+00
1.03711e-02	3.09307e-02
1.04947e-02	4.96384e+00
1.06179e-02	2.57363e-02
1.07408e-02	4.99768e+00
1.08649e-02	2.73571e-02
1.09877e-02	4.99881e+00
1.11122e-02	4.44526e-02
1.12346e-02	4.99880e+00
1.13581e-02	4.50482e-03
1.14815e-02	4.99803e+00
1.16057e-02	3.06672e-02
1.17285e-02	4.99657e+00
1.18526e-02	2.91590e-02
1.19754e-02	4.99774e+00
1.20998e-02	4.33102e-02
