time	V(A,B)
0.000000000000000e+000	0.000000e+000	
3.72517e-04	-9.64047e-02
3.72527e-04	-3.07278e-01
3.72528e-04	1.03879e+00
3.72529e-04	7.54849e+00
3.72530e-04	4.37145e+01
3.72531e-04	1.34039e+02
3.72532e-04	2.55676e+02
3.72532e-04	2.68659e+02
3.72532e-04	2.86822e+02
3.72533e-04	2.95658e+02
3.72533e-04	3.01662e+02
3.72533e-04	3.04048e+02
3.72533e-04	3.04889e+02
3.72534e-04	3.05646e+02
3.72535e-04	3.06959e+02
3.72539e-04	3.09483e+02
3.72541e-04	3.09832e+02
3.72659e-04	3.09998e+02
5.41041e-04	3.08474e+02
5.41057e-04	3.08737e+02
5.41551e-04	3.08385e+02
5.57029e-04	3.08175e+02
7.97634e-04	3.06286e+02
7.97635e-04	3.05887e+02
7.97637e-04	3.05055e+02
7.97639e-04	3.03184e+02
7.97639e-04	3.03088e+02
7.97640e-04	3.03414e+02
7.97643e-04	3.05981e+02
7.97645e-04	3.06227e+02
7.97765e-04	3.06390e+02
9.06615e-04	3.05776e+02
9.06616e-04	3.05868e+02
9.06616e-04	3.05709e+02
9.06616e-04	3.05079e+02
9.06616e-04	3.03290e+02
9.06617e-04	3.00410e+02
9.06617e-04	2.96393e+02
9.06617e-04	2.91747e+02
9.06618e-04	2.85419e+02
9.06618e-04	2.79012e+02
9.06619e-04	2.71597e+02
9.06620e-04	2.67425e+02
9.06620e-04	2.65122e+02
9.06622e-04	2.58558e+02
9.06623e-04	2.52272e+02
9.06623e-04	2.39469e+02
9.06624e-04	2.16275e+02
9.06624e-04	1.82851e+02
9.06624e-04	1.42022e+02
9.06624e-04	1.04371e+02
9.06625e-04	4.03382e+01
9.06625e-04	1.97359e+01
9.06625e-04	1.10245e+01
9.06625e-04	6.40798e+00
9.06625e-04	3.06348e+00
9.06626e-04	-6.75289e-01
9.06697e-04	-8.30311e-01
1.81955e-03	-6.49232e-01
1.81956e-03	-5.11042e-01
1.81956e-03	-3.86138e-01
1.81956e-03	-2.28356e+00
1.81956e-03	-1.24179e+01
1.81956e-03	-5.87912e+01
1.81957e-03	-1.57360e+02
1.81957e-03	-2.72952e+02
1.81957e-03	-2.84626e+02
1.81957e-03	-2.99809e+02
1.81957e-03	-3.06221e+02
1.81957e-03	-3.07552e+02
1.81957e-03	-3.10135e+02
1.81957e-03	-3.10515e+02
1.81964e-03	-3.10716e+02
1.85190e-03	-3.10388e+02
1.85190e-03	-2.85425e+02
1.85190e-03	-2.05054e+02
1.85191e-03	-1.00419e+02
1.85191e-03	-1.89796e+01
1.85191e-03	-1.33747e+01
1.85191e-03	-7.88419e+00
1.85191e-03	-6.09561e+00
1.85191e-03	-4.96460e+00
1.85191e-03	-2.39215e+00
1.85191e-03	-1.90109e+00
1.85192e-03	-1.56207e+00
1.85195e-03	-1.34070e+00
2.10824e-03	-9.38965e-01
2.10825e-03	-7.19665e-01
2.10825e-03	-1.09027e+00
2.10825e-03	-1.53107e+00
2.10826e-03	-4.73044e+00
2.10826e-03	-9.25134e+00
2.10826e-03	-2.81575e+01
2.10826e-03	-6.87451e+01
2.10826e-03	-1.23831e+02
2.10826e-03	-1.88426e+02
2.10826e-03	-2.41839e+02
2.10827e-03	-2.82839e+02
2.10827e-03	-3.08054e+02
2.10828e-03	-3.08237e+02
2.21931e-03	-3.07478e+02
2.21931e-03	-3.06201e+02
2.21931e-03	-3.00504e+02
2.21931e-03	-2.80551e+02
2.21931e-03	-2.72837e+02
2.21931e-03	-2.69268e+02
2.21931e-03	-2.65886e+02
2.21932e-03	-2.60592e+02
2.21932e-03	-2.57383e+02
2.21932e-03	-1.35211e+02
2.21932e-03	-2.38139e+01
2.21932e-03	-1.42681e+01
2.21932e-03	-4.40127e+00
2.21932e-03	-5.05595e-01
2.21932e-03	-1.18742e-01
2.23953e-03	9.40096e-03
3.03181e-03	-1.39357e-02
3.03181e-03	-1.03429e+01
3.03181e-03	-4.70694e+01
3.03181e-03	-1.37659e+02
3.03182e-03	-2.62496e+02
3.03182e-03	-2.72676e+02
3.03182e-03	-2.96324e+02
3.03182e-03	-3.04366e+02
3.03182e-03	-3.05785e+02
3.03182e-03	-3.08367e+02
3.03182e-03	-3.08898e+02
3.03184e-03	-3.09135e+02
3.27348e-03	-3.07318e+02
3.56620e-03	-3.05462e+02
3.70586e-03	-3.04823e+02
3.70586e-03	-3.02628e+02
3.70586e-03	-2.95264e+02
3.70586e-03	-2.84724e+02
3.70586e-03	-2.75475e+02
3.70586e-03	-2.68591e+02
3.70586e-03	-2.65258e+02
3.70586e-03	-2.62041e+02
3.70586e-03	-2.59440e+02
3.70586e-03	-2.56562e+02
3.70586e-03	-2.54701e+02
3.70587e-03	-1.27544e+02
3.70587e-03	-1.58820e+01
3.70587e-03	-3.84585e+00
3.70587e-03	2.18328e-01
3.70620e-03	3.36240e-01
4.23995e-03	3.65390e-01
4.23995e-03	-4.42202e+00
4.23995e-03	-2.60510e+01
4.23996e-03	-9.20752e+01
4.23996e-03	-2.12882e+02
4.23996e-03	-2.29774e+02
4.23996e-03	-2.58953e+02
4.23996e-03	-2.79728e+02
4.23996e-03	-2.83060e+02
4.23996e-03	-2.87954e+02
4.23996e-03	-2.94795e+02
4.23996e-03	-2.98723e+02
4.23996e-03	-3.00653e+02
4.23996e-03	-3.01520e+02
4.23996e-03	-3.02005e+02
4.23996e-03	-3.04692e+02
4.23996e-03	-3.05918e+02
4.23997e-03	-3.06352e+02
4.23997e-03	-3.06742e+02
4.24000e-03	-3.06977e+02
4.54143e-03	-3.05145e+02
4.54144e-03	-3.05377e+02
4.79671e-03	-3.04253e+02
4.79672e-03	-3.03909e+02
4.79672e-03	-3.03110e+02
4.79672e-03	-3.03033e+02
4.79672e-03	-3.03672e+02
4.79680e-03	-3.03868e+02
5.18327e-03	-3.02610e+02
5.18327e-03	-3.02748e+02
5.18327e-03	-3.02609e+02
5.18327e-03	-3.01692e+02
5.18327e-03	-2.99288e+02
5.18327e-03	-2.95170e+02
5.18327e-03	-2.84825e+02
5.18328e-03	-2.76996e+02
5.18328e-03	-2.69495e+02
5.18328e-03	-2.64820e+02
5.18328e-03	-2.62206e+02
5.18328e-03	-2.59703e+02
