time	V(a)
0.000000000000000e+000	1.936979e-004	
3.72517e-04	-9.62110e-02
3.72527e-04	-3.07091e-01
3.72528e-04	1.03898e+00
3.72529e-04	7.54869e+00
3.72530e-04	4.37147e+01
3.72531e-04	1.34039e+02
3.72532e-04	2.55676e+02
3.72532e-04	2.68659e+02
3.72532e-04	2.86822e+02
3.72533e-04	2.95658e+02
3.72533e-04	3.01662e+02
3.72533e-04	3.04048e+02
3.72533e-04	3.04890e+02
3.72534e-04	3.05647e+02
3.72535e-04	3.06959e+02
3.72539e-04	3.09483e+02
3.72541e-04	3.09832e+02
3.72659e-04	3.09998e+02
6.50696e-04	3.07465e+02
9.06614e-04	3.05741e+02
9.06616e-04	3.05868e+02
9.06616e-04	3.05709e+02
9.06616e-04	3.05079e+02
9.06616e-04	3.03290e+02
9.06617e-04	3.00410e+02
9.06617e-04	2.96393e+02
9.06617e-04	2.91747e+02
9.06618e-04	2.85419e+02
9.06618e-04	2.79012e+02
9.06619e-04	2.71598e+02
9.06620e-04	2.67425e+02
9.06620e-04	2.65122e+02
9.06622e-04	2.58558e+02
9.06623e-04	2.52273e+02
9.06623e-04	2.39469e+02
9.06624e-04	2.16275e+02
9.06624e-04	1.82851e+02
9.06624e-04	1.42022e+02
9.06624e-04	1.04371e+02
9.06625e-04	4.03383e+01
9.06625e-04	1.97359e+01
9.06625e-04	1.10245e+01
9.06625e-04	6.40802e+00
9.06625e-04	3.06352e+00
9.06626e-04	-6.75177e-01
9.06697e-04	-8.30268e-01
1.85190e-03	-7.21925e-01
1.85190e-03	2.42415e+01
1.85190e-03	1.04612e+02
1.85191e-03	2.09247e+02
1.85191e-03	2.90687e+02
1.85191e-03	2.96292e+02
1.85191e-03	3.01782e+02
1.85191e-03	3.03571e+02
1.85191e-03	3.04702e+02
1.85191e-03	3.07274e+02
1.85191e-03	3.07765e+02
1.85192e-03	3.08104e+02
1.85195e-03	3.08325e+02
2.10824e-03	3.06443e+02
2.10825e-03	3.06662e+02
2.10825e-03	3.06292e+02
2.10825e-03	3.05851e+02
2.10826e-03	3.02651e+02
2.10826e-03	2.98130e+02
2.10826e-03	2.79224e+02
2.10826e-03	2.38637e+02
2.10826e-03	1.83551e+02
2.10826e-03	1.18956e+02
2.10826e-03	6.55424e+01
2.10827e-03	2.45432e+01
2.10827e-03	-6.71967e-01
2.10828e-03	-8.55465e-01
4.00864e-03	-5.19081e-01
4.54143e-03	-3.59644e-01
4.54144e-03	-5.92506e-01
4.79671e-03	-6.12353e-01
4.79672e-03	-2.68850e-01
4.79672e-03	5.29893e-01
4.79672e-03	6.06849e-01
4.79672e-03	-3.21815e-02
4.79680e-03	-2.27547e-01
5.87477e-03	-1.52506e-01
5.87477e-03	-4.63703e-01
5.87478e-03	-3.26118e-01
5.87478e-03	-6.36413e-01
6.13007e-03	-5.50675e-01
6.13007e-03	-3.27190e-01
6.13007e-03	1.82617e-01
6.13007e-03	1.59848e+00
6.13007e-03	1.83942e+00
6.13007e-03	1.49349e+00
6.13007e-03	4.15932e-01
6.13008e-03	1.22879e-01
6.13017e-03	-5.31781e-02
7.20771e-03	-1.12650e-01
7.20771e-03	-4.08813e-01
7.20772e-03	-3.06047e-01
7.20772e-03	-6.18484e-01
7.46430e-03	-4.70094e-01
7.46430e-03	5.22258e-02
7.46430e-03	1.60699e+00
7.46430e-03	2.20176e+00
7.46431e-03	2.14274e+00
7.46431e-03	8.96948e-01
7.46431e-03	4.36764e-01
7.46431e-03	1.65553e-01
7.46440e-03	-8.95591e-03
8.48622e-03	-9.54237e-02
8.48622e-03	-3.52746e-01
8.48623e-03	-3.14360e-01
8.48623e-03	5.23840e+00
8.48623e-03	2.22299e+01
8.48623e-03	8.14979e+01
8.48623e-03	1.86826e+02
8.48623e-03	2.90027e+02
8.48623e-03	2.98050e+02
8.48623e-03	2.99152e+02
8.48623e-03	3.00978e+02
8.48623e-03	3.04582e+02
8.48624e-03	3.06486e+02
8.48624e-03	3.08264e+02
8.48624e-03	3.09666e+02
8.48624e-03	3.09877e+02
8.48664e-03	3.09992e+02
8.78509e-03	3.07302e+02
8.88598e-03	3.06533e+02
8.88598e-03	3.06158e+02
8.88598e-03	3.05144e+02
8.88598e-03	3.02994e+02
8.88598e-03	3.00162e+02
8.88598e-03	2.91077e+02
8.88598e-03	2.84777e+02
8.88598e-03	2.78861e+02
8.88598e-03	2.75272e+02
8.88598e-03	2.71650e+02
8.88598e-03	2.68476e+02
8.88598e-03	2.65993e+02
8.88598e-03	2.64400e+02
8.88598e-03	2.61202e+02
8.88598e-03	2.59166e+02
8.88598e-03	2.57634e+02
8.88598e-03	2.54560e+02
8.88598e-03	2.48403e+02
8.88598e-03	2.34141e+02
8.88599e-03	2.12898e+02
8.88599e-03	1.83044e+02
8.88599e-03	1.48845e+02
8.88599e-03	1.02300e+02
8.88599e-03	4.30397e+01
8.88599e-03	2.20224e+01
8.88599e-03	1.27132e+01
8.88599e-03	7.29829e+00
8.88599e-03	4.44839e+00
8.88599e-03	2.75932e+00
8.88599e-03	1.57472e+00
8.88599e-03	6.79871e-01
