time	V(ctrla)
0.000000000000000e+000	2.500000e+000	
2.72832e-03	4.38991e+00
4.60070e-03	4.98036e+00
6.40768e-03	4.75949e+00
8.53627e-03	3.60952e+00
1.25248e-02	7.18529e-01
1.44365e-02	3.90755e-02
1.61963e-02	1.74495e-01
1.82370e-02	1.18504e+00
2.25489e-02	4.29469e+00
2.44473e-02	4.96241e+00
2.61761e-02	4.83130e+00
2.81994e-02	3.83994e+00
3.25421e-02	7.09032e-01
3.44332e-02	3.95258e-02
3.62410e-02	1.87617e-01
3.83002e-02	1.22754e+00
4.25083e-02	4.27238e+00
4.43801e-02	4.95274e+00
4.61648e-02	4.83446e+00
4.81850e-02	3.84951e+00
5.25416e-02	7.09266e-01
5.44322e-02	3.96696e-02
5.61975e-02	1.74836e-01
5.82505e-02	1.19408e+00
6.00000e-02	2.50000e+00
