time	V(tri)
0.000000000000000e+000	0.000000e+000	
6.68372e-04	4.98721e+00
1.33935e-03	4.51591e-02
2.00532e-03	4.96008e+00
2.67188e-03	3.90832e-02
3.33339e-03	4.99960e+00
4.00431e-03	3.23438e-02
4.67229e-03	4.95782e+00
5.33890e-03	4.17520e-02
6.00428e-03	4.96793e+00
6.67039e-03	2.79460e-02
7.33972e-03	4.95207e+00
8.00562e-03	4.21827e-02
8.67148e-03	4.96392e+00
9.33982e-03	4.86291e-02
1.00003e-02	4.99787e+00
1.06721e-02	4.06431e-02
1.13387e-02	4.95989e+00
1.20039e-02	2.92400e-02
1.26731e-02	4.95152e+00
1.33396e-02	4.72618e-02
1.40005e-02	4.99601e+00
1.46731e-02	4.79057e-02
1.53381e-02	4.96411e+00
1.60061e-02	4.55908e-02
1.66668e-02	4.99908e+00
1.73386e-02	3.98031e-02
1.80043e-02	4.96758e+00
1.86721e-02	4.07575e-02
1.93386e-02	4.96026e+00
2.00036e-02	2.72405e-02
2.06670e-02	4.99723e+00
2.13394e-02	4.52718e-02
2.20048e-02	4.96371e+00
2.26710e-02	3.24940e-02
2.33386e-02	4.96014e+00
2.40064e-02	4.81835e-02
2.46700e-02	4.97465e+00
2.53387e-02	4.02372e-02
2.60049e-02	4.96297e+00
2.66707e-02	3.02086e-02
2.73335e-02	4.99846e+00
2.80047e-02	3.53083e-02
2.86725e-02	4.95641e+00
2.93378e-02	3.31985e-02
3.00003e-02	4.99766e+00
3.06714e-02	3.56763e-02
3.13384e-02	4.96225e+00
3.20041e-02	3.08225e-02
3.26709e-02	4.96789e+00
3.33380e-02	3.51820e-02
3.40003e-02	4.99795e+00
3.46719e-02	3.90076e-02
3.53392e-02	4.95584e+00
3.60059e-02	4.43693e-02
3.66670e-02	4.99765e+00
3.73393e-02	4.44382e-02
3.80039e-02	4.97109e+00
3.86703e-02	2.69177e-02
3.93384e-02	4.96167e+00
4.00043e-02	3.21657e-02
4.06684e-02	4.98684e+00
4.13395e-02	4.59855e-02
4.20046e-02	4.96565e+00
4.26710e-02	3.25576e-02
4.33336e-02	4.99791e+00
4.40060e-02	4.53036e-02
4.46718e-02	4.96132e+00
4.53394e-02	4.56863e-02
4.60057e-02	4.95731e+00
4.66707e-02	3.05102e-02
4.73335e-02	4.99842e+00
4.80064e-02	4.77518e-02
4.86720e-02	4.96023e+00
4.93375e-02	3.12558e-02
5.00003e-02	4.99803e+00
5.06730e-02	4.74771e-02
5.13380e-02	4.96525e+00
5.20047e-02	3.49050e-02
5.26729e-02	4.95337e+00
5.33370e-02	2.76279e-02
5.40003e-02	4.99773e+00
5.46720e-02	3.97526e-02
5.53335e-02	4.99844e+00
5.60044e-02	3.31185e-02
5.66669e-02	4.99840e+00
5.73371e-02	2.82076e-02
5.80052e-02	4.96067e+00
5.86705e-02	2.90574e-02
5.93400e-02	4.95012e+00
6.00000e-02	0.00000e+00
