time	V(A,B)	V(a)	V(ctrla)	V(tri)
0.000000000000000e+000	0.000000e+000	1.936979e-004	2.500000e+000	0.000000e+000
9.600000339560211e-006	0.000000e+000	1.936979e-004	2.507540e+000	7.200000e-002
1.920000067912042e-005	0.000000e+000	1.936979e-004	2.515079e+000	1.440000e-001
3.840937635857245e-005	0.000000e+000	1.936979e-004	2.530166e+000	2.880703e-001
3.854062636321487e-005	0.000000e+000	1.936979e-004	2.530269e+000	2.890547e-001
3.869062636852050e-005	0.000000e+000	1.936979e-004	2.530387e+000	2.901797e-001
3.899062637913175e-005	0.000000e+000	1.936979e-004	2.530622e+000	2.924297e-001
3.959062640035427e-005	0.000000e+000	1.936979e-004	2.531094e+000	2.969297e-001
4.080468894329670e-005	0.000000e+000	1.936979e-004	2.532047e+000	3.060352e-001
4.101596127219815e-005	0.000000e+000	1.936979e-004	2.532213e+000	3.076197e-001
4.122723360109960e-005	0.000000e+000	1.936979e-004	2.532379e+000	3.092043e-001
4.143850593000106e-005	0.000000e+000	1.936979e-004	2.532545e+000	3.107888e-001
4.164977825890251e-005	0.000000e+000	1.936979e-004	2.532711e+000	3.123733e-001
4.186105058780397e-005	0.000000e+000	1.936979e-004	2.532877e+000	3.139579e-001
4.207232291670542e-005	0.000000e+000	1.936979e-004	2.533043e+000	3.155424e-001
4.228359524560688e-005	0.000000e+000	1.936979e-004	2.533208e+000	3.171270e-001
4.269485014296581e-005	0.000000e+000	1.936978e-004	2.533531e+000	3.202114e-001
4.269602201800726e-005	0.000000e+000	1.936978e-004	2.533532e+000	3.202202e-001
4.269661028200786e-005	0.000000e+000	1.936979e-004	2.533533e+000	3.202246e-001
4.269701959049522e-005	0.000000e+000	1.936978e-004	2.533533e+000	3.202277e-001
4.269727703195156e-005	0.000000e+000	1.936978e-004	2.533533e+000	3.202296e-001
4.269745170620815e-005	0.000000e+000	1.936978e-004	2.533534e+000	3.202309e-001
4.269762238246446e-005	0.000000e+000	1.936979e-004	2.533534e+000	3.202322e-001
4.269779579411741e-005	0.000000e+000	1.936979e-004	2.533534e+000	3.202335e-001
4.269796931294917e-005	0.000000e+000	1.936979e-004	2.533534e+000	3.202348e-001
4.269818929101092e-005	0.000000e+000	1.936977e-004	2.533534e+000	3.202364e-001
4.269819530917410e-005	0.000000e+000	1.936976e-004	2.533534e+000	3.202365e-001
4.269819681371489e-005	0.000000e+000	1.936976e-004	2.533534e+000	3.202365e-001
4.269819982279648e-005	0.000000e+000	1.936976e-004	2.533534e+000	3.202365e-001
4.269820584095966e-005	0.000000e+000	1.936976e-004	2.533534e+000	3.202365e-001
4.269821787728603e-005	0.000000e+000	1.936976e-004	2.533534e+000	3.202366e-001
4.269824194993876e-005	0.000000e+000	1.936977e-004	2.533534e+000	3.202368e-001
