time	V(A,B)
0.000000000000000e+000	0.000000e+000	
3.86017e-04	-9.01221e-02
3.86024e-04	-2.08121e-01
3.86029e-04	-3.10399e-01
3.86029e-04	-2.21625e-01
3.86030e-04	2.55172e+01
3.86031e-04	9.79987e+01
3.86032e-04	2.02262e+02
3.86033e-04	2.90995e+02
3.86034e-04	2.97205e+02
3.86034e-04	3.02678e+02
3.86034e-04	3.04218e+02
3.86034e-04	3.05065e+02
3.86035e-04	3.05839e+02
3.86040e-04	3.09336e+02
3.86041e-04	3.09790e+02
3.86099e-04	3.09993e+02
5.41454e-04	3.08566e+02
5.41459e-04	3.08710e+02
5.41471e-04	3.08848e+02
5.41992e-04	3.08496e+02
5.58704e-04	3.08281e+02
7.96734e-04	3.06386e+02
7.96736e-04	3.05993e+02
7.96737e-04	3.05187e+02
7.96739e-04	3.03292e+02
7.96739e-04	3.03189e+02
7.96740e-04	3.03516e+02
7.96743e-04	3.06079e+02
7.96745e-04	3.06325e+02
7.96864e-04	3.06488e+02
8.81766e-04	3.06000e+02
8.81767e-04	3.06110e+02
8.81768e-04	3.05762e+02
8.81768e-04	3.04772e+02
8.81768e-04	3.02346e+02
8.81768e-04	2.99037e+02
8.81769e-04	2.89576e+02
8.81769e-04	2.81667e+02
8.81770e-04	2.73991e+02
8.81771e-04	2.68886e+02
8.81771e-04	2.66064e+02
8.81772e-04	2.63897e+02
8.81773e-04	2.59791e+02
8.81774e-04	2.56298e+02
8.81774e-04	2.50711e+02
8.81775e-04	2.39429e+02
8.81775e-04	2.16415e+02
8.81775e-04	1.83960e+02
8.81775e-04	1.51197e+02
8.81775e-04	1.08094e+02
8.81776e-04	3.99564e+01
8.81776e-04	1.93591e+01
8.81776e-04	1.08292e+01
8.81776e-04	6.48760e+00
8.81777e-04	3.70643e+00
8.81777e-04	2.18916e+00
8.81777e-04	1.13688e+00
8.81778e-04	-6.93175e-01
8.82035e-04	-8.26026e-01
1.85751e-03	-6.12318e-01
1.85753e-03	-3.42973e-01
1.85801e-03	-6.84728e-01
1.86622e-03	-8.20546e-01
1.86622e-03	-5.07188e+01
1.86622e-03	-1.35964e+02
1.86622e-03	-2.28534e+02
1.86622e-03	-2.95903e+02
1.86622e-03	-3.00419e+02
1.86623e-03	-3.04265e+02
1.86623e-03	-3.05374e+02
1.86623e-03	-3.06020e+02
1.86623e-03	-3.06760e+02
1.86623e-03	-3.10298e+02
1.86623e-03	-3.10564e+02
1.86642e-03	-3.10703e+02
2.18001e-03	-3.07879e+02
2.18001e-03	-3.08064e+02
2.18001e-03	-3.07857e+02
2.18001e-03	-3.07217e+02
2.18001e-03	-3.05462e+02
2.18001e-03	-3.02499e+02
2.18001e-03	-2.98587e+02
2.18001e-03	-2.94291e+02
2.18001e-03	-2.87869e+02
2.18001e-03	-2.79641e+02
2.18001e-03	-2.72466e+02
2.18001e-03	-2.69118e+02
2.18001e-03	-2.66973e+02
2.18001e-03	-2.60471e+02
2.18001e-03	-2.55685e+02
2.18002e-03	-2.46078e+02
2.18002e-03	-2.28087e+02
2.18002e-03	-2.00590e+02
2.18002e-03	-1.66798e+02
2.18002e-03	-1.31192e+02
2.18002e-03	-7.26652e+01
2.18002e-03	-3.76466e+01
2.18002e-03	-2.14643e+01
2.18002e-03	-1.27355e+01
2.18002e-03	-8.03798e+00
2.18002e-03	-5.54763e+00
2.18002e-03	-4.04485e+00
2.18002e-03	-2.82595e+00
2.18002e-03	-1.44167e+00
2.18002e-03	-1.05042e+00
2.18002e-03	-3.39087e-02
2.18044e-03	9.36899e-02
3.04014e-03	1.94452e-01
3.04014e-03	-1.55169e-01
3.04014e-03	-3.90002e+01
3.04015e-03	-1.26996e+02
3.04015e-03	-2.52755e+02
