time	V(a)
0.000000000000000e+000	1.935869e-004	
3.86017e-04	-8.99287e-02
3.86024e-04	-2.07927e-01
3.86029e-04	-3.10206e-01
3.86029e-04	-2.21432e-01
3.86030e-04	2.55174e+01
3.86031e-04	9.79989e+01
3.86032e-04	2.02262e+02
3.86033e-04	2.90996e+02
3.86034e-04	2.97205e+02
3.86034e-04	3.02678e+02
3.86034e-04	3.04218e+02
3.86034e-04	3.05065e+02
3.86035e-04	3.05840e+02
3.86040e-04	3.09336e+02
3.86041e-04	3.09790e+02
3.86099e-04	3.09993e+02
6.82807e-04	3.07320e+02
8.81766e-04	3.06000e+02
8.81767e-04	3.06110e+02
8.81768e-04	3.05762e+02
8.81768e-04	3.04772e+02
8.81768e-04	3.02346e+02
8.81768e-04	2.99037e+02
8.81769e-04	2.89576e+02
8.81769e-04	2.81667e+02
8.81770e-04	2.73991e+02
8.81771e-04	2.68886e+02
8.81771e-04	2.66064e+02
8.81772e-04	2.63897e+02
8.81773e-04	2.59791e+02
8.81774e-04	2.56298e+02
8.81774e-04	2.50711e+02
8.81775e-04	2.39429e+02
8.81775e-04	2.16415e+02
8.81775e-04	1.83960e+02
8.81775e-04	1.51197e+02
8.81775e-04	1.08094e+02
8.81776e-04	3.99565e+01
8.81776e-04	1.93592e+01
8.81776e-04	1.08293e+01
8.81776e-04	6.48764e+00
8.81777e-04	3.70647e+00
8.81777e-04	2.18920e+00
8.81777e-04	1.13692e+00
8.81778e-04	-6.93137e-01
8.82035e-04	-8.25987e-01
2.86417e-03	-5.32194e-01
3.20816e-03	-4.50524e-01
3.20817e-03	-6.04556e-01
3.46334e-03	-5.60686e-01
3.46334e-03	2.10844e-01
3.46334e-03	2.67312e-01
3.46335e-03	-1.20951e-01
3.46345e-03	-2.88000e-01
4.54157e-03	-1.54702e-01
4.54157e-03	-4.81002e-01
4.54158e-03	-4.15282e-01
4.54158e-03	-6.45900e-01
4.79663e-03	-5.29372e-01
4.79663e-03	6.91035e-01
4.79663e-03	1.39750e+00
4.79663e-03	1.74935e+00
4.79663e-03	1.50349e+00
4.79663e-03	4.31519e-01
4.79664e-03	1.11159e-01
4.79672e-03	-6.80335e-02
5.87489e-03	-9.50066e-02
5.87489e-03	-4.15451e-01
5.87490e-03	-2.94796e-01
5.87490e-03	-6.11893e-01
6.12998e-03	-4.68771e-01
6.12998e-03	1.93021e-02
6.12999e-03	1.39447e+00
6.12999e-03	2.48368e+00
6.12999e-03	2.58760e+00
6.12999e-03	2.25077e+00
6.12999e-03	4.11187e-01
6.12999e-03	1.51193e-01
6.13011e-03	-1.31142e-02
7.20812e-03	-1.01653e-01
7.20812e-03	-3.53610e-01
7.20813e-03	-2.49788e-01
7.20813e-03	-6.19048e-01
7.22135e-03	-5.16175e-01
7.44205e-03	-3.55920e-01
7.45317e-03	1.12896e-01
7.46001e-03	3.92156e-01
7.46340e-03	3.05236e-01
7.46340e-03	6.85442e-01
7.46340e-03	1.40163e+00
7.46341e-03	3.34361e+00
7.46341e-03	3.47483e+00
7.46341e-03	3.16387e+00
7.46341e-03	5.78465e-01
7.46341e-03	2.07138e-01
7.46348e-03	1.98954e-03
8.52418e-03	-9.85117e-02
8.52418e-03	-3.48867e-01
8.52419e-03	-2.77917e-01
8.52419e-03	-5.91874e-01
8.52491e-03	-3.82331e-01
8.53289e-03	-8.79353e-02
8.53289e-03	1.72411e+00
8.53289e-03	4.70547e+01
8.53289e-03	1.32491e+02
8.53289e-03	2.40434e+02
8.53289e-03	2.97239e+02
8.53289e-03	2.98113e+02
8.53289e-03	3.03596e+02
8.53289e-03	3.06251e+02
8.53289e-03	3.07208e+02
8.53290e-03	3.09576e+02
8.53290e-03	3.09811e+02
8.53298e-03	3.09998e+02
8.82682e-03	3.07342e+02
8.84667e-03	3.07206e+02
8.84667e-03	3.04828e+02
8.84667e-03	2.97233e+02
8.84667e-03	2.86661e+02
8.84668e-03	2.77592e+02
8.84668e-03	2.70757e+02
8.84668e-03	2.66830e+02
8.84668e-03	2.63234e+02
8.84668e-03	2.39416e+02
8.84668e-03	1.61456e+02
8.84668e-03	3.94030e+01
8.84668e-03	2.56515e+01
8.84668e-03	8.15886e+00
8.84668e-03	4.71763e-01
8.84668e-03	-6.89099e-01
8.85751e-03	-7.91806e-01
9.70681e-03	-7.34098e-01
9.70681e-03	7.60007e+00
9.70681e-03	4.74377e+01
9.70681e-03	1.42649e+02
9.70681e-03	2.64927e+02
9.70681e-03	2.77024e+02
9.70681e-03	2.92091e+02
9.70681e-03	2.98555e+02
9.70681e-03	3.01957e+02
9.70681e-03	3.03268e+02
9.70681e-03	3.03916e+02
9.70681e-03	3.05551e+02
9.70682e-03	3.08051e+02
9.70682e-03	3.08558e+02
9.70685e-03	3.08789e+02
1.00483e-02	3.06161e+02
1.03860e-02	3.04340e+02
1.03860e-02	3.03448e+02
1.03860e-02	2.98685e+02
1.03860e-02	2.89217e+02
1.03860e-02	2.79012e+02
1.03860e-02	2.71351e+02
1.03860e-02	2.66111e+02
1.03860e-02	2.62128e+02
1.03860e-02	2.52492e+02
1.03860e-02	1.99185e+02
1.03860e-02	7.65673e+01
1.03860e-02	5.66051e+01
1.03860e-02	4.82805e+01
1.03860e-02	4.04986e+01
1.03860e-02	2.76119e+01
1.03860e-02	1.60868e+01
1.03860e-02	8.04087e+00
1.03860e-02	4.30717e+00
1.03860e-02	2.31656e+00
1.03860e-02	7.38101e-01
1.03860e-02	-4.32703e-01
1.03860e-02	-8.27024e-01
1.03865e-02	-9.40589e-01
1.08818e-02	-7.50335e-01
1.08818e-02	4.70715e+00
1.08818e-02	3.35398e+01
1.08818e-02	1.11391e+02
1.08818e-02	2.50756e+02
1.08818e-02	2.74959e+02
1.08818e-02	2.88385e+02
1.08818e-02	2.97877e+02
1.08818e-02	3.02003e+02
1.08818e-02	3.03026e+02
1.08818e-02	3.05682e+02
1.08818e-02	3.06169e+02
1.08818e-02	3.06445e+02
1.13335e-02	3.04045e+02
1.17648e-02	3.02538e+02
1.19118e-02	3.02217e+02
1.19118e-02	3.02347e+02
1.19118e-02	3.02255e+02
1.19118e-02	3.01498e+02
1.19118e-02	2.99448e+02
1.19118e-02	2.95627e+02
1.19118e-02	2.85654e+02
1.19118e-02	2.78935e+02
1.19118e-02	2.71479e+02
1.19118e-02	2.64960e+02
1.19118e-02	2.62015e+02
1.19118e-02	2.59716e+02
1.19118e-02	2.55007e+02
1.19118e-02	2.49583e+02
1.19118e-02	2.39135e+02
1.19118e-02	2.19368e+02
1.19118e-02	1.89808e+02
1.19118e-02	1.53729e+02
1.19118e-02	1.16655e+02
1.19118e-02	5.26944e+01
1.19118e-02	2.58166e+01
1.19118e-02	1.36885e+01
1.19118e-02	6.13067e+00
1.19118e-02	2.08905e+00
1.19118e-02	5.06624e-01
1.19118e-02	-4.23482e-01
1.19118e-02	-8.06882e-01
1.19119e-02	-9.85421e-01
1.20711e-02	-9.77429e-01
1.20711e-02	-3.34584e-01
1.20711e-02	3.79321e+00
1.20711e-02	4.77295e+01
1.20711e-02	1.52282e+02
1.20711e-02	2.70443e+02
1.20711e-02	2.80416e+02
1.20711e-02	2.90864e+02
1.20711e-02	2.95359e+02
1.20711e-02	2.96944e+02
1.20711e-02	2.97693e+02
1.20711e-02	2.98297e+02
1.20712e-02	3.01743e+02
1.20712e-02	3.02591e+02
1.20712e-02	3.03018e+02
1.20712e-02	3.03286e+02
1.26583e-02	3.01740e+02
1.33966e-02	3.00730e+02
1.46255e-02	3.00095e+02
1.73232e-02	2.99902e+02
1.73232e-02	2.99941e+02
1.73232e-02	2.99485e+02
1.73232e-02	2.97855e+02
1.73232e-02	2.93679e+02
1.73232e-02	2.88490e+02
1.73232e-02	2.82502e+02
1.73232e-02	2.76687e+02
1.73232e-02	2.71399e+02
1.73232e-02	2.65871e+02
1.73232e-02	2.62325e+02
1.73232e-02	2.59377e+02
1.73232e-02	2.57039e+02
1.73232e-02	2.52872e+02
1.73232e-02	2.49676e+02
1.73232e-02	2.42496e+02
1.73232e-02	2.30218e+02
1.73232e-02	2.07364e+02
1.73232e-02	1.75109e+02
1.73232e-02	1.41263e+02
1.73232e-02	9.49851e+01
1.73232e-02	3.82282e+01
1.73232e-02	1.77037e+01
