time	V(ctrla)
0.000000000000000e+000	2.500000e+000	
2.48731e-03	4.78892e+00
4.13092e-03	5.62962e+00
5.67159e-03	5.67793e+00
7.35066e-03	4.90335e+00
9.71377e-03	2.79185e+00
1.24150e-02	2.64103e-01
1.41246e-02	-6.27873e-01
1.57056e-02	-6.70469e-01
1.73885e-02	1.22821e-01
1.97856e-02	2.28121e+00
2.23984e-02	4.72360e+00
2.40946e-02	5.61940e+00
2.56449e-02	5.68352e+00
2.72649e-02	4.96139e+00
2.95292e-02	2.97897e+00
3.22983e-02	3.52074e-01
3.40190e-02	-5.96889e-01
3.55978e-02	-6.92844e-01
3.72574e-02	3.35940e-02
3.95231e-02	2.01494e+00
4.23644e-02	4.69813e+00
4.40590e-02	5.60902e+00
4.56301e-02	5.68654e+00
4.72761e-02	4.95390e+00
4.95394e-02	2.96860e+00
5.23639e-02	3.02231e-01
5.40592e-02	-6.09062e-01
5.56386e-02	-6.84818e-01
5.73070e-02	6.68500e-02
5.96004e-02	2.09312e+00
6.00000e-02	2.50000e+00
