time	V(tri)
0.000000000000000e+000	0.000000e+000	
6.70734e-04	4.96950e+00
1.33922e-03	4.41277e-02
2.00379e-03	4.97158e+00
2.67172e-03	3.78724e-02
3.33480e-03	4.98901e+00
4.00628e-03	4.70874e-02
4.66692e-03	4.99806e+00
5.33727e-03	2.95476e-02
6.00039e-03	4.99706e+00
6.67159e-03	3.69081e-02
7.33761e-03	4.96790e+00
8.00633e-03	4.74978e-02
8.66678e-03	4.99916e+00
9.33674e-03	2.55509e-02
1.00004e-02	4.99735e+00
1.06734e-02	5.04487e-02
1.13335e-02	4.99845e+00
1.20066e-02	4.93208e-02
1.26668e-02	4.99875e+00
1.33372e-02	2.92050e-02
1.40062e-02	4.95330e+00
1.46716e-02	3.69937e-02
1.53336e-02	4.99823e+00
1.60065e-02	4.89456e-02
1.66670e-02	4.99785e+00
1.73399e-02	4.93293e-02
1.80002e-02	4.99880e+00
1.86688e-02	1.57518e-02
1.93334e-02	4.99977e+00
2.00028e-02	2.10901e-02
2.06708e-02	4.96910e+00
2.13385e-02	3.87636e-02
2.20002e-02	4.99838e+00
2.26708e-02	3.12864e-02
2.33334e-02	4.99934e+00
2.40060e-02	4.48167e-02
2.46668e-02	4.99893e+00
2.53392e-02	4.41887e-02
2.60001e-02	4.99938e+00
2.66674e-02	5.16955e-03
2.73371e-02	4.97210e+00
2.80064e-02	4.79558e-02
2.86669e-02	4.99813e+00
2.93382e-02	3.65991e-02
3.00007e-02	4.99460e+00
3.06705e-02	2.88690e-02
3.13386e-02	4.96075e+00
3.20060e-02	4.48057e-02
3.26670e-02	4.99763e+00
3.33367e-02	2.53811e-02
3.40047e-02	4.96439e+00
3.46708e-02	3.06585e-02
3.53334e-02	4.99922e+00
3.60060e-02	4.48393e-02
3.66669e-02	4.99798e+00
3.73378e-02	3.36796e-02
3.80001e-02	4.99890e+00
3.86722e-02	4.14239e-02
3.93336e-02	4.99817e+00
4.00038e-02	2.82802e-02
4.06718e-02	4.96167e+00
4.13386e-02	3.91271e-02
4.20001e-02	4.99918e+00
4.26728e-02	4.63591e-02
4.33334e-02	4.99918e+00
4.40039e-02	2.95977e-02
4.46667e-02	4.99961e+00
4.53395e-02	4.59845e-02
4.60002e-02	4.99819e+00
4.66693e-02	1.95940e-02
4.73400e-02	4.95035e+00
4.80048e-02	3.62910e-02
4.86669e-02	4.99814e+00
4.93388e-02	4.10695e-02
5.00001e-02	4.99901e+00
5.06732e-02	4.92676e-02
5.13388e-02	4.95909e+00
5.20023e-02	1.69825e-02
5.26668e-02	4.99865e+00
5.33390e-02	4.24962e-02
5.40037e-02	4.97248e+00
5.46718e-02	3.83250e-02
5.53334e-02	4.99961e+00
5.60044e-02	3.32704e-02
5.66667e-02	4.99949e+00
5.73383e-02	3.75785e-02
5.80002e-02	4.99881e+00
5.86726e-02	4.48104e-02
5.93335e-02	4.99859e+00
6.00000e-02	0.00000e+00
