time	V(A,B)	V(a)	V(ctrla)	V(tri)
0.000000000000000e+000	0.000000e+000	1.935869e-004	2.500000e+000	0.000000e+000
5.859375207251105e-010	0.000000e+000	1.900418e-004	2.500001e+000	4.394532e-006
8.139602550776235e-010	0.000000e+000	1.889956e-004	2.500001e+000	6.104702e-006
1.270005723782650e-009	0.000000e+000	1.878048e-004	2.500001e+000	9.525043e-006
2.182096661192702e-009	0.000000e+000	1.867606e-004	2.500002e+000	1.636572e-005
4.006278536012806e-009	1.455192e-011	1.862670e-004	2.500004e+000	3.004709e-005
5.959680982717675e-009	0.000000e+000	1.862521e-004	2.500006e+000	4.469761e-005
9.866485876127414e-009	0.000000e+000	1.863626e-004	2.500010e+000	7.399864e-005
1.768009566294689e-008	0.000000e+000	1.865532e-004	2.500018e+000	1.326007e-004
3.330731523658584e-008	0.000000e+000	1.869134e-004	2.500034e+000	2.498049e-004
5.705350366480710e-008	0.000000e+000	1.874128e-004	2.500058e+000	4.279013e-004
8.290925070208652e-008	0.000000e+000	1.878922e-004	2.500085e+000	6.218194e-004
1.243950179614586e-007	0.000000e+000	1.885292e-004	2.500127e+000	9.329626e-004
2.073665524802027e-007	0.000000e+000	1.894793e-004	2.500212e+000	1.555249e-003
3.733096215176909e-007	0.000000e+000	1.907570e-004	2.500381e+000	2.799822e-003
5.427240607589681e-007	0.000000e+000	1.915642e-004	2.500554e+000	4.070431e-003
7.504314330750285e-007	0.000000e+000	1.921402e-004	2.500766e+000	5.628236e-003
9.648331956362739e-007	0.000000e+000	1.924998e-004	2.500985e+000	7.236249e-003
1.245251598873120e-006	0.000000e+000	1.927837e-004	2.501271e+000	9.339387e-003
1.549064887649225e-006	0.000000e+000	1.929720e-004	2.501582e+000	1.161799e-002
1.925463216458336e-006	0.000000e+000	1.931122e-004	2.501966e+000	1.444097e-002
2.331263731972112e-006	0.000000e+000	1.932019e-004	2.502380e+000	1.748448e-002
2.868887265792868e-006	0.000000e+000	1.932661e-004	2.502929e+000	2.151665e-002
3.559422129327232e-006	0.000000e+000	1.933015e-004	2.503634e+000	2.669567e-002
4.511339971357488e-006	0.000000e+000	1.933130e-004	2.504606e+000	3.383505e-002
5.800320748590926e-006	0.000000e+000	1.933141e-004	2.505922e+000	4.350241e-002
8.251412287329883e-006	0.000000e+000	1.933146e-004	2.508425e+000	6.188559e-002
1.315359536480780e-005	0.000000e+000	1.933155e-004	2.513430e+000	9.865197e-002
2.164312895177266e-005	-1.455192e-011	1.933171e-004	2.522098e+000	1.623235e-001
3.529904923780610e-005	0.000000e+000	1.933198e-004	2.536040e+000	2.647429e-001
5.209437141555233e-005	0.000000e+000	1.933254e-004	2.553187e+000	3.907078e-001
5.217218113590085e-005	0.000000e+000	1.933246e-004	2.553266e+000	3.912914e-001
5.232780057659788e-005	0.000000e+000	1.933231e-004	2.553425e+000	3.924585e-001
5.263903945799195e-005	0.000000e+000	1.933231e-004	2.553743e+000	3.947928e-001
5.288091719971593e-005	0.000000e+000	1.933232e-004	2.553990e+000	3.966069e-001
5.313964470263794e-005	0.000000e+000	1.933232e-004	2.554254e+000	3.985473e-001
5.335649023994588e-005	0.000000e+000	1.933232e-004	2.554475e+000	4.001737e-001
5.358400755212773e-005	0.000000e+000	1.933233e-004	2.554708e+000	4.018801e-001
5.391234935856600e-005	0.000000e+000	1.933234e-004	2.555043e+000	4.043426e-001
5.437746383550645e-005	0.000000e+000	1.933234e-004	2.555518e+000	4.078310e-001
5.485941543438266e-005	0.000000e+000	1.933235e-004	2.556010e+000	4.114456e-001
5.529673605127974e-005	0.000000e+000	1.933236e-004	2.556456e+000	4.147255e-001
5.572799176880088e-005	0.000000e+000	1.933237e-004	2.556896e+000	4.179599e-001
5.616238937523349e-005	0.000000e+000	1.933238e-004	2.557340e+000	4.212179e-001
5.655646090192002e-005	0.000000e+000	1.933239e-004	2.557742e+000	4.241734e-001
5.726283644025034e-005	0.000000e+000	1.933240e-004	2.558463e+000	4.294713e-001
5.768455608040908e-005	0.000000e+000	1.933241e-004	2.558894e+000	4.326342e-001
5.813236626527887e-005	0.000000e+000	1.933242e-004	2.559351e+000	4.359927e-001
5.853824613448337e-005	0.000000e+000	1.933242e-004	2.559765e+000	4.390368e-001
5.901505893168096e-005	0.000000e+000	1.933243e-004	2.560252e+000	4.426129e-001
5.930615644862153e-005	0.000000e+000	1.933244e-004	2.560549e+000	4.447962e-001
5.955302272814010e-005	0.000000e+000	1.933244e-004	2.560801e+000	4.466477e-001
5.981244649522307e-005	0.000000e+000	1.933245e-004	2.561066e+000	4.485933e-001
6.004874796788576e-005	0.000000e+000	1.933245e-004	2.561307e+000	4.503656e-001
6.026643870569756e-005	0.000000e+000	1.933246e-004	2.561529e+000	4.519983e-001
6.047396313469535e-005	0.000000e+000	1.933246e-004	2.561741e+000	4.535547e-001
6.066519295543837e-005	0.000000e+000	1.933247e-004	2.561936e+000	4.549890e-001
6.084807080540793e-005	0.000000e+000	1.933247e-004	2.562123e+000	4.563605e-001
6.102165614357840e-005	0.000000e+000	1.933247e-004	2.562300e+000	4.576624e-001
6.118846844751817e-005	0.000000e+000	1.933248e-004	2.562471e+000	4.589135e-001
6.135056669615697e-005	0.000000e+000	1.933248e-004	2.562636e+000	4.601293e-001
6.150877530763525e-005	0.000000e+000	1.933248e-004	2.562798e+000	4.613158e-001
6.166527574831742e-005	0.000000e+000	1.933248e-004	2.562957e+000	4.624896e-001
6.182108788026852e-005	0.000000e+000	1.933249e-004	2.563117e+000	4.636582e-001
6.197794763437862e-005	0.000000e+000	1.933249e-004	2.563277e+000	4.648346e-001
6.213724428415445e-005	0.000000e+000	1.933249e-004	2.563439e+000	4.660293e-001
6.230061224942899e-005	0.000000e+000	1.933250e-004	2.563606e+000	4.672546e-001
6.246966679904282e-005	0.000000e+000	1.933250e-004	2.563779e+000	4.685225e-001
6.264626258123322e-005	0.000000e+000	1.933250e-004	2.563959e+000	4.698470e-001
6.283226162333328e-005	0.000000e+000	1.933251e-004	2.564149e+000	4.712420e-001
6.302991106231557e-005	0.000000e+000	1.933251e-004	2.564350e+000	4.727243e-001
6.324147035245017e-005	0.000000e+000	1.933251e-004	2.564566e+000	4.743110e-001
6.346971480117788e-005	0.000000e+000	1.933252e-004	2.564799e+000	4.760229e-001
6.372959881905913e-005	0.000000e+000	1.933252e-004	2.565065e+000	4.779720e-001
6.403406813753911e-005	0.000000e+000	1.933253e-004	2.565376e+000	4.802555e-001
6.440784945637581e-005	0.000000e+000	1.933254e-004	2.565757e+000	4.830589e-001
6.489395587206141e-005	0.000000e+000	1.933255e-004	2.566253e+000	4.867047e-001
6.556659941783761e-005	0.000000e+000	1.933256e-004	2.566940e+000	4.917495e-001
6.657490569826300e-005	0.000000e+000	1.933258e-004	2.567969e+000	4.993118e-001
6.767285933095471e-005	0.000000e+000	1.933260e-004	2.569090e+000	5.075464e-001
6.908697962523074e-005	0.000000e+000	1.933263e-004	2.570534e+000	5.181524e-001
7.046018798381673e-005	0.000000e+000	1.933265e-004	2.571935e+000	5.284514e-001
7.241649161236817e-005	0.000000e+000	1.933269e-004	2.573932e+000	5.431237e-001
7.487574880442126e-005	0.000000e+000	1.933274e-004	2.576442e+000	5.615681e-001
7.939122770175755e-005	0.000000e+000	1.933282e-004	2.581051e+000	5.954342e-001
8.704770119525278e-005	0.000000e+000	1.933297e-004	2.588866e+000	6.528578e-001
1.023606481822432e-004	0.000000e+000	1.933327e-004	2.604494e+000	7.677048e-001
2.501740421562241e-004	0.000000e+000	1.933611e-004	2.755169e+000	1.876305e+000
3.087677921562241e-004	0.000000e+000	1.933724e-004	2.814763e+000	2.315758e+000
3.673615421562241e-004	0.000000e+000	1.933837e-004	2.874250e+000	2.755212e+000
3.677048649101303e-004	0.000000e+000	1.933838e-004	2.874599e+000	2.757787e+000
3.681045575635029e-004	0.000000e+000	1.933839e-004	2.875004e+000	2.760784e+000
3.693411557363925e-004	0.000000e+000	1.933841e-004	2.876258e+000	2.770059e+000
3.709899533002453e-004	0.000000e+000	1.933844e-004	2.877930e+000	2.782425e+000
3.742875484279508e-004	0.000000e+000	1.933851e-004	2.881274e+000	2.807157e+000
3.808827386833618e-004	0.000000e+000	1.933864e-004	2.887961e+000	2.856621e+000
3.809600260691674e-004	0.000000e+000	1.933864e-004	2.888039e+000	2.857200e+000
3.812691756123898e-004	0.000000e+000	1.933864e-004	2.888352e+000	2.859519e+000
3.816813750033530e-004	0.000000e+000	1.933865e-004	2.888770e+000	2.862610e+000
3.825057737852793e-004	0.000000e+000	1.933867e-004	2.889606e+000	2.868793e+000
3.842060962730025e-004	0.000000e+000	1.933870e-004	2.891329e+000	2.881546e+000
3.845152458162249e-004	0.000000e+000	1.933871e-004	2.891643e+000	2.883864e+000
3.849274452071881e-004	0.000000e+000	1.933871e-004	2.892061e+000	2.886956e+000
3.859953797620956e-004	0.000000e+000	1.933874e-004	2.893143e+000	2.894965e+000
3.859969899159905e-004	-2.287008e-006	1.962995e-004	2.893145e+000	2.894977e+000
3.859979899159906e-004	-1.143504e-006	1.948459e-004	2.893146e+000	2.894985e+000
3.859989899159906e-004	0.000000e+000	1.933902e-004	2.893147e+000	2.894992e+000
3.859999899159906e-004	0.000000e+000	1.933898e-004	2.893147e+000	2.895000e+000
3.860009899159906e-004	0.000000e+000	1.933896e-004	2.893149e+000	2.895007e+000
3.860019899159906e-004	0.000000e+000	1.933896e-004	2.893150e+000	2.895015e+000
