time	V(A,B)
0.000000000000000e+000	0.000000e+000	
3.64029e-04	-7.13664e-02
3.64035e-04	-2.11720e-01
3.64040e-04	-2.59072e-01
3.64041e-04	1.00767e+01
3.64042e-04	4.87348e+01
3.64043e-04	1.41970e+02
3.64044e-04	2.64092e+02
3.64044e-04	2.76413e+02
3.64044e-04	2.92234e+02
3.64044e-04	2.98981e+02
3.64045e-04	3.02885e+02
3.64045e-04	3.04353e+02
3.64045e-04	3.05003e+02
3.64045e-04	3.05719e+02
3.64048e-04	3.07700e+02
3.64051e-04	3.09554e+02
3.64053e-04	3.09851e+02
3.64200e-04	3.09998e+02
5.31540e-04	3.08482e+02
5.31555e-04	3.08752e+02
5.32012e-04	3.08402e+02
5.44418e-04	3.08203e+02
5.81753e-04	3.07942e+02
5.81754e-04	2.72123e+02
5.81755e-04	1.95995e+02
5.81756e-04	1.00648e+02
5.81757e-04	1.98569e+01
5.81758e-04	1.34935e+01
5.81758e-04	6.98367e+00
5.81758e-04	4.34595e+00
5.81758e-04	3.45215e+00
5.81758e-04	2.90509e+00
5.81759e-04	2.21368e+00
5.81762e-04	4.16260e-02
5.81765e-04	-1.74567e+00
5.81770e-04	-1.94058e+00
5.83656e-04	-2.04071e+00
8.07212e-04	-1.67508e+00
8.07215e-04	-1.90408e+00
8.07223e-04	-1.52570e+00
8.07224e-04	-1.06845e+00
8.07229e-04	2.54004e+00
8.07229e-04	2.93762e+00
8.07229e-04	3.36771e+00
8.07230e-04	4.10129e+00
8.07230e-04	5.68732e+00
8.07230e-04	8.11282e+00
8.07230e-04	1.29452e+01
8.07231e-04	2.01527e+01
8.07231e-04	3.02024e+01
8.07232e-04	4.32099e+01
8.07232e-04	6.50156e+01
8.07233e-04	9.06872e+01
8.07234e-04	1.29259e+02
8.07236e-04	1.77665e+02
8.07237e-04	2.35301e+02
8.07239e-04	2.81924e+02
8.07240e-04	2.96563e+02
8.07240e-04	3.02820e+02
8.07241e-04	3.05431e+02
8.07242e-04	3.06910e+02
8.07710e-04	3.07032e+02
9.23953e-04	3.06356e+02
9.23954e-04	3.06444e+02
9.23954e-04	3.06263e+02
9.23954e-04	3.05543e+02
9.23954e-04	3.03260e+02
9.23955e-04	3.00073e+02
9.23955e-04	2.90817e+02
9.23956e-04	2.84520e+02
9.23956e-04	2.77868e+02
9.23957e-04	2.70475e+02
9.23958e-04	2.66989e+02
9.23958e-04	2.64940e+02
9.23960e-04	2.58880e+02
9.23961e-04	2.55682e+02
9.23961e-04	2.48343e+02
9.23961e-04	2.35398e+02
9.23961e-04	2.12527e+02
9.23962e-04	1.80058e+02
9.23962e-04	1.47862e+02
9.23962e-04	9.94212e+01
9.23963e-04	4.13146e+01
9.23963e-04	2.09875e+01
9.23963e-04	1.20964e+01
9.23963e-04	7.04389e+00
9.23963e-04	4.33293e+00
9.23963e-04	2.91379e+00
9.23963e-04	1.31641e+00
9.23964e-04	1.00867e+00
9.23965e-04	2.21784e-02
9.24181e-04	-1.10911e-01
1.79115e-03	-7.93236e-02
1.79115e-03	-1.58547e-01
1.79115e-03	-3.56839e+01
