time	V(a)
0.000000000000000e+000	1.936979e-004	
3.64029e-04	-7.11727e-02
3.64035e-04	-2.11526e-01
3.64040e-04	-2.58879e-01
3.64041e-04	1.00769e+01
3.64042e-04	4.87350e+01
3.64043e-04	1.41970e+02
3.64044e-04	2.64093e+02
3.64044e-04	2.76413e+02
3.64044e-04	2.92234e+02
3.64044e-04	2.98981e+02
3.64045e-04	3.02885e+02
3.64045e-04	3.04353e+02
3.64045e-04	3.05004e+02
3.64045e-04	3.05719e+02
3.64048e-04	3.07700e+02
3.64051e-04	3.09554e+02
3.64053e-04	3.09851e+02
3.64200e-04	3.09998e+02
6.38544e-04	3.07495e+02
9.23952e-04	3.05587e+02
9.23954e-04	3.05710e+02
9.23954e-04	3.05530e+02
9.23954e-04	3.04809e+02
9.23954e-04	3.02527e+02
9.23955e-04	2.99340e+02
9.23955e-04	2.90084e+02
9.23956e-04	2.83787e+02
9.23956e-04	2.77135e+02
9.23957e-04	2.69741e+02
9.23958e-04	2.66256e+02
9.23958e-04	2.64207e+02
9.23960e-04	2.58146e+02
9.23961e-04	2.54949e+02
9.23961e-04	2.47609e+02
9.23961e-04	2.34664e+02
9.23961e-04	2.11793e+02
9.23962e-04	1.79325e+02
9.23962e-04	1.47129e+02
9.23962e-04	9.86878e+01
9.23963e-04	4.05812e+01
9.23963e-04	2.02541e+01
9.23963e-04	1.13630e+01
9.23963e-04	6.31049e+00
9.23963e-04	3.59953e+00
9.23963e-04	2.18039e+00
9.23963e-04	5.83018e-01
9.23964e-04	2.75291e-01
9.23965e-04	-7.11219e-01
9.24181e-04	-8.44279e-01
1.81058e-03	-6.85379e-01
1.81058e-03	-6.58559e-01
1.81058e-03	-2.09231e-02
1.81058e-03	2.04753e+01
1.81058e-03	8.40076e+01
1.81058e-03	1.89995e+02
1.81058e-03	2.89057e+02
1.81058e-03	2.95919e+02
1.81058e-03	3.01334e+02
1.81058e-03	3.02577e+02
1.81058e-03	3.03023e+02
1.81058e-03	3.04778e+02
1.81059e-03	3.07275e+02
1.81059e-03	3.07686e+02
1.81059e-03	3.07984e+02
1.81067e-03	3.08177e+02
2.14114e-03	3.05771e+02
2.16584e-03	3.05694e+02
2.16584e-03	3.05669e+02
2.16584e-03	3.05239e+02
2.16584e-03	3.04021e+02
2.16584e-03	3.01649e+02
2.16584e-03	2.98476e+02
2.16585e-03	2.88464e+02
2.16585e-03	2.83014e+02
2.16585e-03	2.77799e+02
2.16585e-03	2.72075e+02
2.16585e-03	2.68312e+02
2.16585e-03	2.65860e+02
2.16585e-03	2.63807e+02
2.16585e-03	2.58220e+02
2.16585e-03	2.55664e+02
2.16585e-03	2.49833e+02
2.16585e-03	2.39506e+02
2.16585e-03	2.18886e+02
2.16585e-03	1.91588e+02
2.16585e-03	1.59001e+02
2.16585e-03	1.17682e+02
2.16585e-03	5.53922e+01
2.16585e-03	2.84267e+01
2.16585e-03	1.48698e+01
2.16585e-03	3.25943e+00
2.16586e-03	-7.73703e-01
2.16668e-03	-8.80041e-01
4.31670e-03	-4.88199e-01
4.54119e-03	-4.50997e-01
4.54119e-03	-6.08010e-01
4.79688e-03	-5.62072e-01
4.79688e-03	2.36495e-01
4.79688e-03	-1.45278e-01
4.79703e-03	-2.95478e-01
5.87438e-03	-1.73506e-01
5.87438e-03	-4.84372e-01
5.87439e-03	-4.22457e-01
5.87439e-03	-6.45801e-01
6.13047e-03	-5.34019e-01
6.13048e-03	6.63901e-01
6.13048e-03	1.37239e+00
6.13048e-03	1.73855e+00
6.13048e-03	1.50657e+00
6.13048e-03	4.34974e-01
6.13048e-03	1.09936e-01
6.13058e-03	-7.00958e-02
7.19820e-03	-7.91048e-02
7.19821e-03	-4.13373e-01
7.19821e-03	-3.22319e-01
7.19822e-03	-6.22798e-01
7.24842e-03	-5.66669e-01
7.24842e-03	2.59611e-01
7.24842e-03	2.64327e+01
7.24842e-03	9.90956e+01
7.24842e-03	1.98400e+02
7.24842e-03	2.86337e+02
7.24842e-03	2.93365e+02
7.24842e-03	3.01487e+02
7.24842e-03	3.04678e+02
7.24842e-03	3.06414e+02
7.24843e-03	3.08085e+02
7.24843e-03	3.09314e+02
7.24843e-03	3.09650e+02
7.24843e-03	3.09871e+02
7.24875e-03	3.09975e+02
7.47388e-03	3.07934e+02
7.47388e-03	3.08170e+02
7.47389e-03	3.07820e+02
7.47389e-03	3.07448e+02
7.47389e-03	3.03959e+02
7.47389e-03	3.03435e+02
7.47389e-03	3.02838e+02
7.47389e-03	3.02220e+02
7.47389e-03	2.83623e+02
7.47390e-03	2.59083e+02
7.47390e-03	2.28894e+02
7.47390e-03	1.95453e+02
7.47390e-03	1.48270e+02
7.47390e-03	9.63963e+01
7.47390e-03	4.88856e+01
7.47390e-03	1.98083e+01
7.47390e-03	5.46865e+00
7.47390e-03	6.52518e-01
7.47391e-03	-7.15340e-01
8.45782e-03	-6.96403e-01
8.45782e-03	3.17413e-01
8.45782e-03	2.31983e+01
8.45782e-03	9.30657e+01
8.45782e-03	2.13018e+02
8.45782e-03	2.29188e+02
8.45782e-03	2.56979e+02
8.45782e-03	2.78657e+02
8.45782e-03	2.92401e+02
8.45782e-03	2.99844e+02
8.45782e-03	3.02952e+02
8.45782e-03	3.03982e+02
