time	V(ctrla)
0.000000000000000e+000	2.500000e+000	
2.93057e-03	4.09201e+00
4.98983e-03	4.49999e+00
7.05357e-03	4.09802e+00
1.01041e-02	2.43457e+00
1.30286e-02	8.71462e-01
1.50424e-02	5.00177e-01
1.71139e-02	9.25064e-01
2.02884e-02	2.68095e+00
2.31093e-02	4.15742e+00
2.51670e-02	4.49725e+00
2.72594e-02	4.01696e+00
3.10090e-02	1.87662e+00
3.34925e-02	7.20142e-01
3.55172e-02	5.26347e-01
3.76654e-02	1.16114e+00
4.28103e-02	4.04513e+00
4.48747e-02	4.49845e+00
4.68961e-02	4.15555e+00
4.97275e-02	2.67103e+00
5.28330e-02	9.45858e-01
5.48769e-02	5.01495e-01
5.69084e-02	8.48802e-01
5.97305e-02	2.33086e+00
6.00000e-02	2.50000e+00
