time	V(tri)
0.000000000000000e+000	0.000000e+000	
6.66836e-04	4.99873e+00
1.33750e-03	3.12363e-02
2.00030e-03	4.99774e+00
2.67212e-03	4.09116e-02
3.33508e-03	4.98694e+00
4.00337e-03	2.52402e-02
4.67270e-03	4.95478e+00
5.33800e-03	3.49641e-02
6.00550e-03	4.95878e+00
6.67116e-03	3.36664e-02
7.33346e-03	4.99904e+00
8.00540e-03	4.05316e-02
8.66695e-03	4.99784e+00
9.33534e-03	1.50777e-02
1.00002e-02	4.99867e+00
1.06726e-02	4.45829e-02
1.13336e-02	4.99819e+00
1.20064e-02	4.78979e-02
1.26726e-02	4.95556e+00
1.33398e-02	4.84083e-02
1.40003e-02	4.99776e+00
1.46715e-02	3.59588e-02
1.53336e-02	4.99781e+00
1.60054e-02	4.03809e-02
1.66669e-02	4.99847e+00
1.73342e-02	6.23447e-03
1.80003e-02	4.99775e+00
1.86713e-02	3.48832e-02
1.93338e-02	4.99671e+00
2.00035e-02	2.61251e-02
2.06676e-02	4.99270e+00
2.13378e-02	3.35666e-02
2.20000e-02	4.99965e+00
2.26728e-02	4.61830e-02
2.33337e-02	4.99759e+00
2.40057e-02	4.24123e-02
2.46667e-02	4.99948e+00
2.53368e-02	2.62983e-02
2.60002e-02	4.99832e+00
2.66713e-02	3.46728e-02
2.73342e-02	4.99364e+00
2.80052e-02	3.89452e-02
2.86670e-02	4.99772e+00
2.93374e-02	3.02608e-02
3.00003e-02	4.99764e+00
3.06729e-02	4.64412e-02
3.13335e-02	4.99866e+00
3.20066e-02	4.94919e-02
3.26668e-02	4.99864e+00
3.33382e-02	3.68256e-02
3.40066e-02	4.95076e+00
3.46733e-02	4.95242e-02
3.53337e-02	4.99762e+00
3.60061e-02	4.59777e-02
3.66669e-02	4.99811e+00
3.73360e-02	2.00282e-02
3.80001e-02	4.99896e+00
3.86705e-02	2.86788e-02
3.93345e-02	4.99095e+00
4.00038e-02	2.81954e-02
4.06669e-02	4.99854e+00
4.13387e-02	3.98995e-02
4.20002e-02	4.99823e+00
4.26705e-02	2.85191e-02
4.33335e-02	4.99863e+00
4.40057e-02	4.26569e-02
4.46670e-02	4.99764e+00
4.53389e-02	4.15703e-02
4.60036e-02	4.97330e+00
4.66711e-02	3.29228e-02
4.73391e-02	4.95641e+00
4.80039e-02	2.94001e-02
4.86670e-02	4.99779e+00
4.93369e-02	2.64396e-02
5.00002e-02	4.99881e+00
5.06706e-02	2.94206e-02
5.13379e-02	4.96564e+00
5.20044e-02	3.30807e-02
5.26669e-02	4.99859e+00
5.33381e-02	3.56247e-02
5.40001e-02	4.99918e+00
5.46702e-02	2.62751e-02
5.53336e-02	4.99798e+00
5.60040e-02	2.97864e-02
5.66670e-02	4.99772e+00
5.73371e-02	2.78812e-02
5.80002e-02	4.99815e+00
5.86715e-02	3.62985e-02
5.93336e-02	4.99809e+00
6.00000e-02	0.00000e+00
