time	V(A,B)	V(a)	V(ctrla)	V(tri)
0.000000000000000e+000	0.000000e+000	1.936979e-004	2.500000e+000	0.000000e+000
5.859375207251105e-010	0.000000e+000	1.936979e-004	2.500000e+000	4.394532e-006
8.139596786511607e-010	0.000000e+000	1.936978e-004	2.500000e+000	6.104698e-006
1.270003994503261e-009	0.000000e+000	1.936978e-004	2.500001e+000	9.525030e-006
2.182092626207462e-009	0.000000e+000	1.936978e-004	2.500001e+000	1.636570e-005
4.006269889615864e-009	0.000000e+000	1.936979e-004	2.500003e+000	3.004702e-005
5.959737408929434e-009	0.000000e+000	1.936979e-004	2.500004e+000	4.469803e-005
9.866672447556575e-009	0.000000e+000	1.936979e-004	2.500006e+000	7.400005e-005
1.768054252481086e-008	0.000000e+000	1.936979e-004	2.500011e+000	1.326041e-004
3.330828267931942e-008	0.000000e+000	1.936979e-004	2.500021e+000	2.498121e-004
6.456376298833655e-008	0.000000e+000	1.936979e-004	2.500041e+000	4.842282e-004
1.270747236063708e-007	0.000000e+000	1.936979e-004	2.500080e+000	9.530604e-004
2.520966448424393e-007	0.000000e+000	1.936979e-004	2.500158e+000	1.890725e-003
4.191706749807530e-007	0.000000e+000	1.936979e-004	2.500263e+000	3.143780e-003
5.947939007999596e-007	0.000000e+000	1.936979e-004	2.500374e+000	4.460954e-003
7.977757369041486e-007	0.000000e+000	1.936979e-004	2.500501e+000	5.983318e-003
1.031797591300255e-006	0.000000e+000	1.936979e-004	2.500648e+000	7.738482e-003
1.316312351931037e-006	0.000000e+000	1.936979e-004	2.500827e+000	9.872342e-003
1.640025273918086e-006	0.000000e+000	1.936979e-004	2.501030e+000	1.230019e-002
2.021368370758831e-006	0.000000e+000	1.936979e-004	2.501270e+000	1.516026e-002
2.449214370750694e-006	0.000000e+000	1.936979e-004	2.501539e+000	1.836911e-002
3.039777940604910e-006	0.000000e+000	1.936979e-004	2.501910e+000	2.279834e-002
3.742864159702242e-006	0.000000e+000	1.936979e-004	2.502352e+000	2.807148e-002
4.808628763250708e-006	0.000000e+000	1.936979e-004	2.503021e+000	3.606471e-002
6.251325971530050e-006	0.000000e+000	1.936979e-004	2.503928e+000	4.688495e-002
8.555212360593151e-006	0.000000e+000	1.936979e-004	2.505375e+000	6.416409e-002
4.080962180747657e-005	0.000000e+000	1.936979e-004	2.525641e+000	3.060722e-001
7.767180403248620e-005	0.000000e+000	1.936979e-004	2.548798e+000	5.825385e-001
7.801512678639245e-005	0.000000e+000	1.936979e-004	2.549013e+000	5.851135e-001
8.121947248951745e-005	0.000000e+000	1.936979e-004	2.551026e+000	6.091461e-001
8.488158186451745e-005	0.000000e+000	1.936979e-004	2.553326e+000	6.366119e-001
9.220580061451746e-005	0.000000e+000	1.936979e-004	2.557926e+000	6.915435e-001
9.240607222096278e-005	0.000000e+000	1.936979e-004	2.558052e+000	6.930456e-001
9.263495405690028e-005	0.000000e+000	1.936979e-004	2.558196e+000	6.947622e-001
9.309271772877528e-005	0.000000e+000	1.936979e-004	2.558484e+000	6.981954e-001
9.400824507252527e-005	0.000000e+000	1.936979e-004	2.559058e+000	7.050619e-001
9.583929976002528e-005	0.000000e+000	1.936979e-004	2.560209e+000	7.187948e-001
9.589652021900965e-005	0.000000e+000	1.936979e-004	2.560245e+000	7.192239e-001
9.601096113697841e-005	0.000000e+000	1.936979e-004	2.560316e+000	7.200822e-001
9.623984297291590e-005	0.000000e+000	1.936979e-004	2.560460e+000	7.217988e-001
9.669760664479091e-005	0.000000e+000	1.936979e-004	2.560748e+000	7.252321e-001
9.764174421803309e-005	0.000000e+000	1.936979e-004	2.561341e+000	7.323131e-001
9.861824874495676e-005	0.000000e+000	1.936979e-004	2.561954e+000	7.396368e-001
9.861912558586233e-005	2.910383e-011	1.936979e-004	2.561954e+000	7.396435e-001
9.862087926767348e-005	1.455192e-011	1.937008e-004	2.561955e+000	7.396566e-001
9.862100426767349e-005	0.000000e+000	1.937004e-004	2.561955e+000	7.396575e-001
9.862125426767349e-005	-2.910383e-011	1.936979e-004	2.561956e+000	7.396594e-001
9.862150338759770e-005	-2.910383e-011	1.936973e-004	2.561956e+000	7.396613e-001
9.862169484937542e-005	-1.455192e-011	1.936976e-004	2.561956e+000	7.396627e-001
9.862190017803499e-005	0.000000e+000	1.936980e-004	2.561956e+000	7.396643e-001
9.862290017803500e-005	-1.455192e-011	1.937005e-004	2.561957e+000	7.396718e-001
9.862390017803500e-005	0.000000e+000	1.937006e-004	2.561957e+000	7.396793e-001
9.862490017803500e-005	0.000000e+000	1.937002e-004	2.561958e+000	7.396867e-001
9.862502517803500e-005	0.000000e+000	1.936991e-004	2.561958e+000	7.396877e-001
9.862527517803501e-005	0.000000e+000	1.936959e-004	2.561958e+000	7.396896e-001
9.862540296908669e-005	-2.910383e-011	1.936965e-004	2.561958e+000	7.396905e-001
9.862541775801590e-005	-7.275958e-011	1.936963e-004	2.561958e+000	7.396907e-001
9.862554275801590e-005	-5.820766e-011	1.937007e-004	2.561958e+000	7.396916e-001
9.862566775801590e-005	-5.820766e-011	1.937014e-004	2.561958e+000	7.396925e-001
9.862579275801590e-005	-7.275958e-011	1.937007e-004	2.561959e+000	7.396935e-001
9.862591775801590e-005	-4.365575e-011	1.937005e-004	2.561959e+000	7.396944e-001
9.862604275801591e-005	-2.910383e-011	1.936986e-004	2.561959e+000	7.396953e-001
9.862618543121136e-005	-1.455192e-011	1.936960e-004	2.561959e+000	7.396964e-001
9.862637222140683e-005	0.000000e+000	1.936959e-004	2.561959e+000	7.396978e-001
9.862663077988838e-005	0.000000e+000	1.936968e-004	2.561959e+000	7.396997e-001
9.862692390593228e-005	0.000000e+000	1.936971e-004	2.561959e+000	7.397019e-001
9.862749865334217e-005	0.000000e+000	1.936975e-004	2.561960e+000	7.397062e-001
9.862832256029403e-005	0.000000e+000	1.936977e-004	2.561960e+000	7.397124e-001
9.862987907718138e-005	0.000000e+000	1.936979e-004	2.561961e+000	7.397241e-001
9.863218865138226e-005	0.000000e+000	1.936979e-004	2.561963e+000	7.397414e-001
9.863565566349121e-005	0.000000e+000	1.936973e-004	2.561965e+000	7.397674e-001
9.863652241651845e-005	0.000000e+000	1.936975e-004	2.561965e+000	7.397739e-001
9.863736561164492e-005	0.000000e+000	1.936979e-004	2.561966e+000	7.397802e-001
9.863782772416488e-005	-1.455192e-011	1.936979e-004	2.561966e+000	7.397837e-001
9.863812567534375e-005	0.000000e+000	1.936979e-004	2.561966e+000	7.397860e-001
9.863834553891256e-005	4.365575e-011	1.936979e-004	2.561966e+000	7.397876e-001
9.863852900069705e-005	5.820766e-011	1.936979e-004	2.561966e+000	7.397889e-001
9.863869148931901e-005	7.275958e-011	1.936979e-004	2.561967e+000	7.397902e-001
9.863884326234064e-005	5.820766e-011	1.936979e-004	2.561967e+000	7.397913e-001
9.863898891439918e-005	4.365575e-011	1.936979e-004	2.561967e+000	7.397924e-001
9.863913346759436e-005	2.910383e-011	1.936979e-004	2.561967e+000	7.397935e-001
9.863928456675369e-005	1.455192e-011	1.936979e-004	2.561967e+000	7.397946e-001
9.863946683833636e-005	0.000000e+000	1.936979e-004	2.561967e+000	7.397960e-001
9.863965941010617e-005	0.000000e+000	1.936979e-004	2.561967e+000	7.397975e-001
9.863987268564974e-005	1.455192e-011	1.936979e-004	2.561967e+000	7.397990e-001
9.864009227479993e-005	1.455192e-011	1.936979e-004	2.561967e+000	7.398007e-001
9.864032728368433e-005	0.000000e+000	1.936978e-004	2.561968e+000	7.398025e-001
9.864057071160378e-005	1.455192e-011	1.936979e-004	2.561968e+000	7.398043e-001
9.864083256939407e-005	1.455192e-011	1.936979e-004	2.561968e+000	7.398062e-001
9.864111472938102e-005	0.000000e+000	1.936979e-004	2.561968e+000	7.398084e-001
9.864143800796106e-005	1.455192e-011	1.936978e-004	2.561968e+000	7.398108e-001
9.864182541158071e-005	0.000000e+000	1.936978e-004	2.561969e+000	7.398137e-001
9.864217645026717e-005	0.000000e+000	1.936978e-004	2.561969e+000	7.398163e-001
9.864261062358079e-005	0.000000e+000	1.936978e-004	2.561969e+000	7.398196e-001
9.864308321793634e-005	0.000000e+000	1.936978e-004	2.561969e+000	7.398231e-001
9.864357195505456e-005	0.000000e+000	1.936978e-004	2.561970e+000	7.398268e-001
9.864411262800150e-005	0.000000e+000	1.936978e-004	2.561970e+000	7.398309e-001
9.864459959941764e-005	0.000000e+000	1.936979e-004	2.561970e+000	7.398345e-001
9.864507411730832e-005	2.910383e-011	1.936979e-004	2.561971e+000	7.398381e-001
9.864557545602107e-005	2.910383e-011	1.936979e-004	2.561971e+000	7.398418e-001
9.864603123183281e-005	4.365575e-011	1.936979e-004	2.561971e+000	7.398452e-001
9.864649858365759e-005	4.365575e-011	1.936979e-004	2.561971e+000	7.398487e-001
9.864694525897297e-005	4.365575e-011	1.936979e-004	2.561972e+000	7.398521e-001
9.864741145270344e-005	0.000000e+000	1.936979e-004	2.561972e+000	7.398556e-001
9.864788159407413e-005	-1.455192e-011	1.936979e-004	2.561972e+000	7.398591e-001
9.864838867370206e-005	-1.455192e-011	1.936979e-004	2.561973e+000	7.398629e-001
9.864893549562272e-005	0.000000e+000	1.936978e-004	2.561973e+000	7.398670e-001
9.864957380972005e-005	0.000000e+000	1.936978e-004	2.561973e+000	7.398718e-001
9.865038943312472e-005	1.455192e-011	1.936979e-004	2.561974e+000	7.398779e-001
9.865092691645963e-005	2.910383e-011	1.936979e-004	2.561974e+000	7.398819e-001
9.865141888622841e-005	2.910383e-011	1.936979e-004	2.561975e+000	7.398856e-001
9.865196756217067e-005	0.000000e+000	1.936979e-004	2.561975e+000	7.398897e-001
9.865217532191979e-005	-1.455192e-011	1.936979e-004	2.561975e+000	7.398913e-001
9.865231444046903e-005	0.000000e+000	1.936979e-004	2.561975e+000	7.398924e-001
9.865241879229513e-005	0.000000e+000	1.936979e-004	2.561975e+000	7.398931e-001
9.865242998239273e-005	-1.178705e-009	1.936981e-004	2.561975e+000	7.398932e-001
9.865243002610404e-005	-4.074536e-010	1.936990e-004	2.561975e+000	7.398932e-001
